2026-01-09 04:06:08 | user=- | action=login | status=success
2026-01-09 04:07:40 | user=- | action=login | status=success
2026-01-08 14:40:13 | user=- | action=login | status=success
2026-01-09 13:28:51 | user=DESKTOP-SBRO8HJ$ | action=login | status=failed
2026-01-09 13:28:53 | user=DESKTOP-SBRO8HJ$ | action=login | status=failed
2026-01-09 13:28:54 | user=DESKTOP-SBRO8HJ$ | action=login | status=failed
2026-01-09 13:28:58 | user=DESKTOP-SBRO8HJ$ | action=login | status=failed
2026-01-09 13:29:00 | user=DESKTOP-SBRO8HJ$ | action=login | status=failed
2026-01-09 13:29:02 | user=DESKTOP-SBRO8HJ$ | action=login | status=failed
2026-01-09 13:33:17 | user=DESKTOP-SBRO8HJ$ | action=login | status=failed
2026-01-09 13:33:17 | user=DESKTOP-SBRO8HJ$ | action=login | status=failed
2026-01-09 13:34:06 | user=DESKTOP-SBRO8HJ$ | action=login | status=failed
2026-01-09 13:34:06 | user=DESKTOP-SBRO8HJ$ | action=login | status=failed
2026-01-09 13:34:18 | user=DESKTOP-SBRO8HJ$ | action=login | status=failed
2026-01-09 14:33:49 | user=testuser | action=login | status=success
2026-01-09 14:33:49 | user=testuser | action=login | status=success
2026-01-09 14:34:20 | user=DESKTOP-SBRO8HJ$ | action=login | status=failed
2026-01-09 21:13:54 | user=DESKTOP-SBRO8HJ$ | action=login | status=failed
2026-01-09 23:10:27 | user=DESKTOP-SBRO8HJ$ | action=login | status=failed
2026-01-09 23:11:01 | user=DESKTOP-SBRO8HJ$ | action=login | status=failed
2026-01-09 23:12:30 | user=DESKTOP-SBRO8HJ$ | action=login | status=failed
2026-01-09 23:13:21 | user=DESKTOP-SBRO8HJ$ | action=login | status=failed
2026-01-10 09:36:44 | user=DESKTOP-SBRO8HJ$ | action=login | status=failed
2026-01-10 09:36:48 | user=DESKTOP-SBRO8HJ$ | action=login | status=failed
2026-01-10 09:36:52 | user=DESKTOP-SBRO8HJ$ | action=login | status=failed
2026-01-10 09:36:58 | user=DESKTOP-SBRO8HJ$ | action=login | status=failed
2026-01-10 09:37:03 | user=DESKTOP-SBRO8HJ$ | action=login | status=failed
2026-01-10 09:37:07 | user=DESKTOP-SBRO8HJ$ | action=login | status=failed
2026-01-10 09:37:42 | user=DESKTOP-SBRO8HJ$ | action=login | status=failed
2026-01-10 09:56:18 | user=testuser | action=login | status=failed
2026-01-10 09:57:39 | user=testuser | action=login | status=success
2026-01-10 09:57:39 | user=testuser | action=login | status=success
2026-01-10 10:11:13 | user=DESKTOP-SBRO8HJ$ | action=login | status=failed
2026-01-10 10:11:17 | user=DESKTOP-SBRO8HJ$ | action=login | status=failed
2026-01-10 10:11:21 | user=DESKTOP-SBRO8HJ$ | action=login | status=failed
2026-01-10 10:11:24 | user=DESKTOP-SBRO8HJ$ | action=login | status=failed
2026-01-10 10:15:06 | user=DESKTOP-SBRO8HJ$ | action=login | status=failed
2026-01-10 10:15:09 | user=DESKTOP-SBRO8HJ$ | action=login | status=failed
2026-01-10 10:15:13 | user=DESKTOP-SBRO8HJ$ | action=login | status=failed
2026-01-10 10:15:16 | user=DESKTOP-SBRO8HJ$ | action=login | status=failed
2026-01-10 10:15:19 | user=DESKTOP-SBRO8HJ$ | action=login | status=failed
2026-01-11 14:31:21 | user=DESKTOP-SBRO8HJ$ | action=login | status=failed
